-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 2 N:100
My:0.4803467,MEAN:0.4641697,MIN:0.4628906,MAX:0.4946289,Kurtosis:24.09159,Alteration:-0.01745638,RANGE:0.03173828,ENERGY:21.54769,POWER:0.2154769,RMS:0.4641949,STD:0.004832196,Variance:2.335012e-05,SKEW:0.0001061623,SLOPE : -0.01428223
Mz:0.05859375,MEAN:-0.08034419,MIN:-0.1090088,MAX:0.06018066,Kurtosis:31.17768,Alteration:-0.01745638,RANGE:0.1691895,ENERGY:0.6994339,POWER:0.006994338,RMS:0.08363216,STD:0.02321961,Variance:0.0005391505,SKEW:0.002916929,SLOPE : 0.0390625
-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 10 N:100
Ax:0.04821777,MEAN:-0.1073608,MIN:-0.1574707,MAX:0.1654053,Kurtosis:23.03683,Alteration:-0.1663818,RANGE:0.322876,ENERGY:1.36476,POWER:0.0136476,RMS:0.1168229,STD:0.04605714,Variance:0.00212126,SKEW:0.00979405,SLOPE:-0.1171875
Ay:-0.345459,MEAN:-0.0564014,MIN:-0.5402832,MAX:-0.01599121,Kurtosis:19.07011,Alteration:0.3112793,RANGE:0.524292,ENERGY:1.153397,POWER:0.01153397,RMS:0.1073963,STD:0.09139394,Variance:0.008352851,SKEW:-0.03566535,SLOPE:0.1037598
Az:0.7530518,MEAN:0.9605289,MIN:0.1276855,MAX:0.9952393,Kurtosis:24.12657,Alteration:0.2421864,RANGE:0.8675537,ENERGY:94.5302,POWER:0.9453021,RMS:0.9722664,STD:0.1506193,Variance:0.02268618,SKEW:-0.1094949,SLOPE : 0.5478516
Gx:31.17081,MEAN:-13.70014,MIN:-19.76868,MAX:140.3247,Kurtosis:28.6101,Alteration:-50.93951,RANGE:160.0934,ENERGY:74894.91,POWER:748.949,RMS:27.36693,STD:23.69082,Variance:561.2552,SKEW:2849.827,SLOPE : -77.10084
Gy:22.57248,MEAN:40.40455,MIN:-23.49213,MAX:44.84589,Kurtosis:12.76528,Alteration:22.27345,RANGE:68.33802,ENERGY:181785.7,POWER:1817.857,RMS:42.63634,STD:13.61357,Variance:185.3293,SKEW:-644.3339,SLOPE : 4.366457
Gz:-3.327179,MEAN:10.87832,MIN:-39.2981,MAX:59.91913,Kurtosis:26.23647,Alteration:15.45457,RANGE:99.21722,ENERGY:18892.41,POWER:188.9241,RMS:13.74497,STD:8.401567,Variance:70.58633,SKEW:-76.93867,SLOPE : 16.28448
Mx:0.3562012,MEAN:0.3453235,MIN:0.3115234,MAX:0.4019775,Kurtosis:30.43699,Alteration:-0.01123038,RANGE:0.0904541,ENERGY:11.93215,POWER:0.1193215,RMS:0.3454295,STD:0.008554071,Variance:7.317215e-05,SKEW:0.0002722073,SLOPE : 0.01123047
